Nr.,Type,bolt_num,BL,sBL,dia_1,dia_2,gear1_x,gear1_y,gear1_z,gear2_x,gear2_y,gear2_z,bolt1_x,bolt1_y,bolt1_z,bolt2_x,bolt2_y,bolt2_z,bolt3_x,bolt3_y,bolt3_z,bolt4_x,bolt4_y,bolt4_z,bolt5_x,bolt5_y,bolt5_z,euler_x,euler_y,euler_z
TypeA0_0011,0,3,7.997,1.326,3.758,5.557,1.8788,1.0,13.3047,1.979,0.333,16.283,0.053,-2.953,12.009,3.551,-2.953,11.816,3.275,-2.953,18.526,0.0,0.0,0.0,0.0,0.0,0.0,-10.4214,3.9563,-4.2535
TypeA0_0012,0,4,7.675,1.592,4.103,5.426,2.0517,1.0,13.2508,1.913,0.333,16.164,-0.216,-2.953,12.431,4.079,-2.953,11.944,2.02,-2.953,19.139,-1.019,-2.953,18.235,0.0,0.0,0.0,12.9658,1.8966,1.7809
TypeA0_0013,0,4,6.909,0.933,4.109,6.406,2.0546,1.0,12.0041,2.403,0.333,15.407,0.327,-2.953,10.318,3.906,-2.953,10.454,4.509,-2.953,16.859,-2.195,-2.953,16.298,0.0,0.0,0.0,-8.5468,-1.0214,-2.2229
TypeA0_0014,0,5,6.494,1.337,3.754,5.216,1.8769,1.0,11.7327,1.808,0.333,14.54,-0.243,-2.953,11.019,4.043,-2.953,11.176,2.62,-2.953,17.075,1.323,-2.953,17.498,-1.786,-2.953,15.321,4.6997,-4.1555,1.7005
TypeA0_0015,0,4,7.459,0.604,4.119,6.297,2.0593,1.0,11.8149,2.349,0.333,15.163,0.255,-2.953,10.203,4.062,-2.953,10.458,4.507,-2.953,16.49,-2.225,-2.953,15.574,0.0,0.0,0.0,10.1814,-1.653,-0.8598
TypeA0_0016,0,5,7.548,0.962,3.909,6.224,1.9543,1.0,12.3735,2.312,0.333,15.685,-0.295,-2.953,11.829,3.772,-2.953,10.941,2.426,-2.953,18.916,0.517,-2.953,19.098,-2.065,-2.953,14.385,13.7216,0.881,-3.8689
TypeA0_0017,0,4,6.6,1.94,3.968,5.556,1.9841,1.0,12.5591,1.978,0.333,15.537,0.323,-2.953,10.905,4.087,-2.953,11.524,3.367,-2.953,17.791,-1.937,-2.953,15.861,0.0,0.0,0.0,14.1604,-0.2279,1.8538
TypeA0_0018,0,4,7.511,1.585,4.438,5.667,2.2188,1.0,12.8036,2.033,0.333,15.837,0.484,-2.953,10.896,4.63,-2.953,11.89,1.556,-2.953,19.027,-1.277,-2.953,17.549,0.0,0.0,0.0,7.9507,1.0482,-4.7203
TypeA0_0019,0,3,6.797,1.048,3.935,5.881,1.9674,1.0,11.9867,2.141,0.333,15.127,-0.118,-2.953,10.954,4.234,-2.953,11.458,3.816,-2.953,17.097,0.0,0.0,0.0,0.0,0.0,0.0,1.9798,4.8115,1.5415
TypeA0_0020,0,4,6.456,1.573,4.402,5.555,2.2009,1.0,11.8745,1.978,0.333,14.852,-0.194,-2.953,10.967,4.257,-2.953,10.348,3.336,-2.953,17.322,-1.489,-2.953,13.63,0.0,0.0,0.0,-14.9483,-3.3728,-2.0069
TypeA0_0021,0,3,6.212,1.013,4.16,5.454,2.0798,1.0,11.0202,1.927,0.333,13.947,-0.309,-2.953,10.525,4.319,-2.953,10.051,0.069,-2.953,16.787,0.0,0.0,0.0,0.0,0.0,0.0,7.3035,2.6802,-0.1783
TypeA0_0022,0,4,7.635,1.269,3.571,5.116,1.7855,1.0,13.0455,1.758,0.333,15.804,-0.222,-2.953,12.29,3.2,-2.953,11.433,3.64,-2.953,17.015,-1.894,-2.953,16.277,0.0,0.0,0.0,12.5943,-2.015,-1.6654
TypeA0_0023,0,4,7.494,0.8,3.956,5.989,1.978,1.0,12.3263,2.194,0.333,15.521,-0.041,-2.953,11.147,3.569,-2.953,10.613,4.409,-2.953,16.423,-2.174,-2.953,15.4,0.0,0.0,0.0,-14.0775,-1.9493,0.628
TypeA0_0024,0,4,6.637,1.594,4.446,5.042,2.2229,1.0,12.2136,1.721,0.333,14.935,-0.136,-2.953,11.161,4.654,-2.953,11.34,4.298,-2.953,15.11,-0.943,-2.953,16.579,0.0,0.0,0.0,5.5787,-3.6135,-3.1345
TypeA0_0025,0,4,6.311,0.929,3.891,5.811,1.9455,1.0,11.4384,2.105,0.333,14.544,-0.318,-2.953,11.001,4.132,-2.953,10.707,0.681,-2.953,17.776,-2.114,-2.953,14.735,0.0,0.0,0.0,1.8161,-1.8108,-0.4026
TypeA0_0026,0,5,7.199,1.974,4.156,5.971,2.0779,1.0,13.3614,2.185,0.333,16.547,0.015,-2.953,12.062,4.47,-2.953,12.891,4.253,-2.953,18.077,-1.208,-2.953,18.785,-2.062,-2.953,16.348,3.6438,-2.2348,0.1128
TypeA0_0027,0,5,7.475,0.642,3.533,5.833,1.7663,1.0,11.8228,2.116,0.333,14.939,0.195,-2.953,10.39,3.557,-2.953,10.675,3.362,-2.953,17.174,-0.629,-2.953,17.801,-2.153,-2.953,15.942,-7.2565,-2.4363,1.1054
TypeA0_0028,0,3,7.558,1.021,4.241,5.285,2.1206,1.0,12.2797,1.843,0.333,15.122,0.005,-2.953,10.985,4.341,-2.953,11.175,2.051,-2.953,18.035,0.0,0.0,0.0,0.0,0.0,0.0,7.0538,-2.5321,3.4926
TypeA0_0029,0,3,7.784,0.947,4.109,6.111,2.0544,1.0,12.4392,2.256,0.333,15.695,0.499,-2.953,10.593,3.977,-2.953,10.979,-0.961,-2.953,18.295,0.0,0.0,0.0,0.0,0.0,0.0,3.7472,-2.5676,1.9975
TypeA0_0030,0,4,6.785,1.706,4.413,5.182,2.2063,1.0,12.2492,1.791,0.333,15.04,-0.2,-2.953,11.358,3.869,-2.953,10.294,4.142,-2.953,16.148,-1.526,-2.953,14.71,0.0,0.0,0.0,-9.0977,3.4316,0.7609
TypeA0_0031,0,3,7.899,1.337,3.753,6.063,1.8763,1.0,13.0481,2.231,0.333,16.279,0.149,-2.953,11.627,3.534,-2.953,11.547,4.351,-2.953,17.16,0.0,0.0,0.0,0.0,0.0,0.0,-13.8798,-3.9347,2.8589
TypeA0_0032,0,3,6.459,0.706,4.42,6.18,2.2101,1.0,11.2115,2.29,0.333,14.502,-0.138,-2.953,10.167,4.27,-2.953,9.674,3.972,-2.953,16.813,0.0,0.0,0.0,0.0,0.0,0.0,13.8802,0.0084,3.4174
TypeA0_0033,0,5,7.307,1.417,4.091,5.343,2.0453,1.0,12.5305,1.871,0.333,15.402,0.441,-2.953,10.738,4.359,-2.953,11.872,4.238,-2.953,15.882,0.573,-2.953,18.358,-1.482,-2.953,14.079,-13.6797,0.138,2.1871
TypeA0_0034,0,3,6.622,1.595,3.966,6.412,1.9829,1.0,12.243,2.406,0.333,15.649,-0.118,-2.953,11.206,4.095,-2.953,11.229,-2.095,-2.953,14.245,0.0,0.0,0.0,0.0,0.0,0.0,-1.724,4.5308,2.7672
TypeA0_0035,0,4,6.679,1.733,4.387,6.489,2.1935,1.0,12.1946,2.444,0.333,15.639,0.166,-2.953,10.642,3.98,-2.953,10.37,1.599,-2.953,19.237,-1.613,-2.953,17.627,0.0,0.0,0.0,13.9451,-3.3564,-4.7014
TypeA0_0036,0,5,7.578,1.828,3.656,6.177,1.828,1.0,13.2481,2.288,0.333,16.536,-0.272,-2.953,12.634,3.727,-2.953,12.161,4.476,-2.953,16.615,-1.039,-2.953,19.297,-2.408,-2.953,16.824,-0.7683,-4.6234,3.5313
TypeA0_0037,0,4,6.603,0.601,3.995,5.195,1.9976,1.0,11.0706,1.798,0.333,13.868,-0.01,-2.953,9.834,3.998,-2.953,9.823,2.96,-2.953,16.244,-1.748,-2.953,13.601,0.0,0.0,0.0,12.2798,-0.8595,2.638
TypeA0_0038,0,5,6.714,1.095,3.709,6.461,1.8545,1.0,11.6454,2.431,0.333,15.076,0.239,-2.953,10.131,3.464,-2.953,10.124,4.428,-2.953,16.306,-1.497,-2.953,17.602,-2.33,-2.953,13.877,12.9126,4.765,-3.3455
TypeA0_0039,0,4,7.212,1.367,3.87,6.004,1.9349,1.0,12.239,2.202,0.333,15.441,0.326,-2.953,10.602,3.935,-2.953,11.113,4.49,-2.953,15.665,-1.788,-2.953,17.103,0.0,0.0,0.0,-14.7485,4.7758,0.35
TypeA0_0040,0,4,7.663,1.141,4.071,5.799,2.0355,1.0,12.7275,2.099,0.333,15.827,-0.32,-2.953,12.292,4.324,-2.953,12.021,0.717,-2.953,19.045,-1.617,-2.953,17.403,0.0,0.0,0.0,-12.2529,0.2512,-3.2111
TypeA0_0041,0,3,6.553,0.629,4.187,6.453,2.0933,1.0,11.3601,2.426,0.333,14.786,-0.224,-2.953,10.555,3.952,-2.953,9.76,-2.209,-2.953,14.016,0.0,0.0,0.0,0.0,0.0,0.0,8.4013,-3.9165,4.9235
TypeA0_0042,0,4,7.556,1.934,4.297,6.484,2.1484,1.0,13.1158,2.442,0.333,16.558,0.319,-2.953,11.399,4.051,-2.953,11.482,4.95,-2.953,16.61,-1.291,-2.953,19.009,0.0,0.0,0.0,-13.5876,-0.8519,-1.3303
TypeA0_0043,0,5,7.098,1.076,3.523,5.489,1.7617,1.0,11.7826,1.945,0.333,14.727,0.0,-2.953,10.6,3.276,-2.953,10.297,3.524,-2.953,16.48,-0.771,-2.953,17.303,-1.882,-2.953,13.482,10.3796,-0.1954,2.3032
TypeA0_0044,0,4,6.845,1.286,4.259,5.248,2.1294,1.0,11.9239,1.824,0.333,14.748,-0.131,-2.953,10.88,3.841,-2.953,10.116,3.306,-2.953,16.983,-0.659,-2.953,16.972,0.0,0.0,0.0,-4.7102,-1.6516,1.6624
TypeA0_0045,0,4,6.582,1.24,3.94,5.584,1.9698,1.0,11.6476,1.992,0.333,14.64,-0.136,-2.953,10.651,4.187,-2.953,10.933,3.355,-2.953,16.912,-1.714,-2.953,15.911,0.0,0.0,0.0,-5.7311,-4.8124,-0.3019
TypeA0_0046,0,4,7.775,1.952,3.688,6.156,1.8441,1.0,13.5504,2.278,0.333,16.828,-0.302,-2.953,13.048,3.877,-2.953,12.699,1.599,-2.953,20.221,-1.862,-2.953,18.665,0.0,0.0,0.0,-13.4332,1.2057,2.3762
TypeA0_0047,0,5,6.829,1.881,3.93,6.276,1.9649,1.0,12.782,2.338,0.333,16.12,0.44,-2.953,11.027,4.114,-2.953,11.896,3.034,-2.953,19.076,-0.61,-2.953,19.134,-1.929,-2.953,14.487,-11.8175,-3.3745,-4.9462
TypeA0_0048,0,3,6.762,1.728,4.256,5.317,2.1281,1.0,12.2492,1.858,0.333,15.108,-0.141,-2.953,11.229,4.249,-2.953,10.948,3.258,-2.953,17.428,0.0,0.0,0.0,0.0,0.0,0.0,-1.3499,-1.6158,3.7857
TypeA0_0049,0,4,6.241,1.03,3.979,6.213,1.9895,1.0,11.147,2.307,0.333,14.454,-0.245,-2.953,10.42,4.15,-2.953,10.223,2.432,-2.953,17.69,-2.277,-2.953,14.511,0.0,0.0,0.0,11.8492,2.9208,-2.0607
TypeA0_0050,0,3,7.399,1.534,3.584,5.409,1.792,1.0,12.7461,1.905,0.333,15.651,0.024,-2.953,11.519,3.882,-2.953,12.234,1.443,-2.953,18.682,0.0,0.0,0.0,0.0,0.0,0.0,-11.5714,-3.0046,-4.65
TypeA0_0051,0,4,7.031,1.987,4.475,6.258,2.2373,1.0,13.0149,2.329,0.333,16.344,0.32,-2.953,11.262,4.619,-2.953,11.98,4.772,-2.953,17.368,-2.035,-2.953,16.682,0.0,0.0,0.0,-0.0606,-0.4761,1.0631
TypeA0_0052,0,3,6.599,1.165,4.161,5.324,2.0806,1.0,11.8599,1.862,0.333,14.722,-0.188,-2.953,10.96,4.364,-2.953,10.999,0.56,-2.953,17.657,0.0,0.0,0.0,0.0,0.0,0.0,-2.4863,-0.7127,-0.701
TypeA0_0053,0,4,7.528,0.89,3.583,6.333,1.7915,1.0,12.2749,2.366,0.333,15.641,0.223,-2.953,10.802,3.901,-2.953,11.851,1.41,-2.953,19.143,-2.483,-2.953,16.241,0.0,0.0,0.0,6.6066,0.2979,-0.3516
TypeA0_0054,0,3,7.985,1.953,4.162,6.032,2.081,1.0,14.0282,2.216,0.333,17.244,0.111,-2.953,12.586,4.413,-2.953,13.308,1.167,-2.953,20.618,0.0,0.0,0.0,0.0,0.0,0.0,10.6186,4.6506,3.4057
TypeA0_0055,0,4,6.898,1.548,3.898,5.861,1.949,1.0,12.5389,2.131,0.333,15.67,-0.304,-2.953,12.034,4.145,-2.953,11.825,2.419,-2.953,18.705,-1.658,-2.953,17.386,0.0,0.0,0.0,-2.7041,-2.3949,-2.1296
TypeA0_0056,0,5,6.862,0.869,4.338,5.944,2.169,1.0,11.9307,2.172,0.333,15.103,-0.236,-2.953,11.147,4.208,-2.953,10.435,3.756,-2.953,17.428,-0.469,-2.953,17.882,-1.959,-2.953,15.264,-12.4338,4.7386,3.3326
TypeA0_0057,0,5,6.524,1.715,4.203,5.202,2.1015,1.0,12.2714,1.801,0.333,15.072,-0.062,-2.953,11.097,3.724,-2.953,10.421,4.241,-2.953,15.426,-0.206,-2.953,17.621,-1.361,-2.953,16.367,3.8537,-1.4636,-2.3226
TypeA0_0058,0,5,6.572,1.401,4.046,5.249,2.023,1.0,11.574,1.825,0.333,14.399,-0.273,-2.953,10.938,4.35,-2.953,11.059,2.837,-2.953,16.91,-0.338,-2.953,16.943,-1.402,-2.953,12.979,-11.9202,2.4646,-1.9233
TypeA0_0059,0,5,7.008,1.712,4.482,6.478,2.2409,1.0,12.9183,2.439,0.333,16.357,0.354,-2.953,11.128,4.773,-2.953,12.326,3.168,-2.953,19.515,-1.046,-2.953,18.959,-2.128,-2.953,16.824,10.894,-4.7413,-4.2686
TypeA0_0060,0,5,6.803,0.748,3.85,5.091,1.9252,1.0,11.4435,1.746,0.333,14.189,0.202,-2.953,9.943,3.875,-2.953,10.252,2.401,-2.953,16.8,-0.557,-2.953,16.558,-1.695,-2.953,13.488,0.3884,-2.7945,4.004
TypeA0_0061,0,3,7.997,0.979,4.378,5.928,2.1892,1.0,13.1336,2.164,0.333,16.298,0.224,-2.953,11.51,4.688,-2.953,12.627,-1.743,-2.953,17.41,0.0,0.0,0.0,0.0,0.0,0.0,4.9049,0.8246,0.1093
TypeA0_0062,0,3,7.679,1.399,4.321,6.499,2.1604,1.0,13.217,2.45,0.333,16.667,-0.276,-2.953,12.571,3.796,-2.953,11.3,-2.167,-2.953,15.901,0.0,0.0,0.0,0.0,0.0,0.0,14.8115,-3.6206,-0.132
TypeA0_0063,0,4,7.258,1.936,4.329,5.183,2.1647,1.0,13.0934,1.792,0.333,15.885,0.158,-2.953,11.562,4.648,-2.953,12.636,4.109,-2.953,16.971,-1.338,-2.953,17.071,0.0,0.0,0.0,9.8819,3.703,-1.3791
TypeA0_0064,0,4,7.135,0.941,4.156,6.419,2.0778,1.0,12.1074,2.409,0.333,15.517,0.061,-2.953,10.737,4.458,-2.953,11.579,4.499,-2.953,17.054,-2.032,-2.953,14.181,0.0,0.0,0.0,11.5828,-4.8324,4.2548
TypeA0_0065,0,3,6.816,1.841,4.021,5.904,2.0103,1.0,12.5184,2.152,0.333,15.67,0.326,-2.953,10.851,3.631,-2.953,10.789,0.445,-2.953,18.892,0.0,0.0,0.0,0.0,0.0,0.0,-7.3347,1.4507,-1.3949
TypeA0_0066,0,4,7.96,1.668,3.904,5.068,1.9521,1.0,13.507,1.734,0.333,16.241,0.278,-2.953,11.912,3.826,-2.953,12.153,3.233,-2.953,18.252,-1.002,-2.953,18.173,0.0,0.0,0.0,1.9087,1.2895,-2.1443
TypeA0_0067,0,4,6.971,1.865,3.821,5.615,1.9105,1.0,12.9941,2.008,0.333,16.002,-0.069,-2.953,11.882,4.02,-2.953,12.155,3.166,-2.953,18.412,-1.515,-2.953,17.774,0.0,0.0,0.0,-1.6658,-4.1563,2.3875
TypeA0_0068,0,4,7.828,0.92,3.894,6.411,1.9469,1.0,12.9077,2.405,0.333,16.313,-0.048,-2.953,11.749,4.105,-2.953,12.093,1.763,-2.953,19.825,-2.387,-2.953,15.838,0.0,0.0,0.0,13.0513,-2.2792,-0.3676
TypeA0_0069,0,5,7.162,1.816,4.008,5.455,2.0041,1.0,13.0868,1.927,0.333,16.014,0.01,-2.953,11.817,3.91,-2.953,11.688,4.269,-2.953,16.383,-0.569,-2.953,18.542,-1.867,-2.953,15.7,-4.5347,0.141,4.0022
TypeA0_0070,0,5,7.814,1.539,3.736,6.039,1.8681,1.0,13.1245,2.22,0.333,16.344,0.025,-2.953,11.872,4.019,-2.953,12.542,3.202,-2.953,18.965,0.164,-2.953,19.601,-1.879,-2.953,14.69,-8.9528,-2.4237,-0.6344
TypeA0_0071,0,4,6.374,0.832,4.427,5.619,2.2136,1.0,11.0955,2.009,0.333,14.105,0.537,-2.953,9.143,4.424,-2.953,9.777,3.427,-2.953,16.552,-1.756,-2.953,14.074,0.0,0.0,0.0,-14.2068,3.6919,-3.6478
TypeA0_0072,0,5,7.981,1.117,3.572,5.151,1.786,1.0,12.8903,1.775,0.333,15.666,0.338,-2.953,11.307,3.885,-2.953,12.444,3.352,-2.953,17.403,0.241,-2.953,18.505,-1.762,-2.953,16.697,7.2832,-0.0913,-4.0609
TypeA0_0073,0,3,6.544,1.316,3.51,5.068,1.7551,1.0,11.6275,1.734,0.333,14.362,0.044,-2.953,10.384,3.807,-2.953,11.115,1.691,-2.953,17.161,0.0,0.0,0.0,0.0,0.0,0.0,11.0725,-4.9258,-0.3885
TypeA0_0074,0,3,7.673,1.342,3.937,5.883,1.9684,1.0,13.1298,2.141,0.333,16.271,-0.151,-2.953,12.166,3.808,-2.953,11.702,-1.975,-2.953,17.282,0.0,0.0,0.0,0.0,0.0,0.0,-14.4643,-4.5176,2.469
TypeA0_0075,0,4,7.415,1.479,4.356,6.138,2.178,1.0,12.8937,2.269,0.333,16.162,0.503,-2.953,10.987,4.172,-2.953,11.323,4.037,-2.953,18.327,-2.009,-2.953,15.626,0.0,0.0,0.0,7.0631,0.1498,-3.6354
TypeA0_0076,0,4,6.573,1.39,3.505,6.453,1.7526,1.0,11.9606,2.427,0.333,15.387,-0.201,-2.953,11.156,3.185,-2.953,10.408,3.08,-2.953,18.275,-1.537,-2.953,17.969,0.0,0.0,0.0,-10.175,-0.1802,-1.6091
TypeA0_0077,0,4,7.886,1.826,4.403,5.043,2.2013,1.0,13.3299,1.721,0.333,16.051,0.307,-2.953,11.606,4.557,-2.953,12.324,3.401,-2.953,18.125,-0.381,-2.953,18.315,0.0,0.0,0.0,-9.5931,4.7517,-0.5426
TypeA0_0078,0,4,6.226,1.618,3.959,6.373,1.9793,1.0,11.6705,2.386,0.333,15.057,-0.284,-2.953,11.077,3.775,-2.953,10.171,3.434,-2.953,17.794,-1.91,-2.953,13.315,0.0,0.0,0.0,-12.2996,4.0524,-2.3481
TypeA0_0079,0,4,6.817,1.108,3.96,5.275,1.9798,1.0,12.0948,1.838,0.333,14.932,0.107,-2.953,10.692,3.666,-2.953,10.472,1.661,-2.953,17.891,-1.129,-2.953,16.844,0.0,0.0,0.0,-11.8508,-4.1514,2.4476
TypeA0_0080,0,5,6.465,1.765,3.751,5.569,1.8756,1.0,12.0566,1.985,0.333,15.041,0.193,-2.953,10.585,3.975,-2.953,11.288,4.217,-2.953,15.179,-1.331,-2.953,17.066,-2.057,-2.953,14.766,-7.3704,2.9011,3.8055
TypeA0_0081,0,4,6.49,1.844,3.658,5.594,1.8292,1.0,12.1201,1.997,0.333,15.117,0.321,-2.953,10.534,3.962,-2.953,11.625,3.739,-2.953,16.737,-1.459,-2.953,17.059,0.0,0.0,0.0,-7.3829,1.111,-2.2596
TypeA0_0082,0,5,7.806,0.865,4.156,5.829,2.0778,1.0,12.7744,2.114,0.333,15.889,0.401,-2.953,11.005,4.119,-2.953,11.442,4.54,-2.953,16.165,-0.872,-2.953,18.358,-1.973,-2.953,15.497,10.8609,-1.862,2.8978
TypeA0_0083,0,5,6.331,0.875,3.717,6.082,1.8584,1.0,10.9219,2.241,0.333,14.163,0.001,-2.953,9.709,3.827,-2.953,9.9,3.146,-2.953,16.849,-1.302,-2.953,16.612,-2.338,-2.953,14.337,-12.8309,1.8909,-3.5232
TypeA0_0084,0,5,7.482,1.11,4.317,5.489,2.1583,1.0,12.336,1.944,0.333,15.28,0.413,-2.953,10.521,4.625,-2.953,11.826,4.413,-2.953,15.834,-0.189,-2.953,17.971,-1.544,-2.953,14.178,11.7543,-3.0805,3.4207
TypeA0_0085,0,3,7.43,0.695,4.482,6.378,2.2411,1.0,12.0273,2.389,0.333,15.416,-0.159,-2.953,11.025,4.497,-2.953,10.732,2.575,-2.953,18.779,0.0,0.0,0.0,0.0,0.0,0.0,-3.6199,-4.8415,-0.3388
TypeA0_0086,0,3,7.002,0.774,3.7,5.548,1.8501,1.0,11.8575,1.974,0.333,14.832,0.017,-2.953,10.623,3.543,-2.953,10.436,0.176,-2.953,17.841,0.0,0.0,0.0,0.0,0.0,0.0,-0.1533,1.2622,4.031
TypeA0_0087,0,3,6.794,1.217,4.342,5.692,2.171,1.0,11.9927,2.046,0.333,15.039,0.433,-2.953,10.153,4.444,-2.953,10.88,-1.764,-2.953,15.709,0.0,0.0,0.0,0.0,0.0,0.0,-4.952,-3.2563,-0.8253
TypeA0_0088,0,5,7.123,1.008,3.984,6.415,1.992,1.0,11.9159,2.408,0.333,15.323,-0.152,-2.953,10.949,4.229,-2.953,11.19,3.384,-2.953,18.139,-0.496,-2.953,18.466,-2.325,-2.953,15.921,8.4024,-0.1526,-0.8607
TypeA0_0089,0,3,6.955,0.687,3.643,6.166,1.8216,1.0,11.6134,2.283,0.333,14.896,0.391,-2.953,9.966,3.3,-2.953,10.009,-0.889,-2.953,17.76,0.0,0.0,0.0,0.0,0.0,0.0,-2.8468,4.3253,4.8734
TypeA0_0090,0,4,7.978,1.468,3.776,5.006,1.8881,1.0,13.5339,1.703,0.333,16.237,-0.048,-2.953,12.392,3.924,-2.953,12.581,2.344,-2.953,18.81,-1.556,-2.953,15.139,0.0,0.0,0.0,-4.8594,-0.8681,4.068
TypeA0_0091,0,3,6.304,1.97,4.39,5.407,2.1951,1.0,12.275,1.904,0.333,15.179,0.5,-2.953,10.364,4.431,-2.953,11.039,3.721,-2.953,17.172,0.0,0.0,0.0,0.0,0.0,0.0,0.8342,-3.3233,-2.3053
TypeA0_0092,0,3,7.16,0.699,4.276,5.825,2.1381,1.0,11.9506,2.112,0.333,15.063,-0.068,-2.953,10.778,4.048,-2.953,10.34,1.247,-2.953,18.334,0.0,0.0,0.0,0.0,0.0,0.0,-3.6345,-2.5396,-4.896
TypeA0_0093,0,3,7.4,0.768,4.323,5.035,2.1614,1.0,11.8747,1.717,0.333,14.592,0.429,-2.953,10.042,4.628,-2.953,11.352,-0.241,-2.953,16.982,0.0,0.0,0.0,0.0,0.0,0.0,1.8645,-3.9805,-3.5841
TypeA0_0094,0,4,7.747,0.676,3.706,6.123,1.8529,1.0,12.0418,2.261,0.333,15.303,-0.311,-2.953,11.577,3.587,-2.953,10.667,1.223,-2.953,18.72,-2.366,-2.953,15.437,0.0,0.0,0.0,-8.7035,0.2375,4.9035
TypeA0_0095,0,5,7.914,1.557,3.811,6.396,1.9053,1.0,13.2274,2.398,0.333,16.626,0.271,-2.953,11.659,4.112,-2.953,12.715,2.597,-2.953,19.856,-1.178,-2.953,19.355,-2.008,-2.953,14.902,14.5673,-3.0431,-1.3029
TypeA0_0096,0,4,7.168,1.306,4.391,5.446,2.1957,1.0,12.477,1.923,0.333,15.4,-0.272,-2.953,11.81,4.283,-2.953,11.002,1.92,-2.953,18.438,-1.617,-2.953,14.748,0.0,0.0,0.0,8.1936,3.1369,-0.4135
TypeA0_0097,0,4,7.211,0.971,3.758,5.514,1.8791,1.0,12.1126,1.957,0.333,15.07,-0.047,-2.953,10.971,3.678,-2.953,10.78,3.557,-2.953,16.96,-1.746,-2.953,16.386,0.0,0.0,0.0,-11.3202,-2.1839,-2.9308
TypeA0_0098,0,4,7.301,1.778,3.544,5.048,1.7721,1.0,12.8997,1.724,0.333,15.624,-0.326,-2.953,12.519,3.586,-2.953,11.78,3.668,-2.953,16.649,-1.901,-2.953,15.871,0.0,0.0,0.0,9.8084,2.447,4.1757
TypeA0_0099,0,3,6.395,1.095,4.347,5.074,2.1736,1.0,11.4268,1.737,0.333,14.164,0.054,-2.953,10.039,4.05,-2.953,9.724,-0.661,-2.953,16.226,0.0,0.0,0.0,0.0,0.0,0.0,-10.822,-3.1734,-2.4835
